variable,mean_importance,sd_importance
std_delta_delta_log_energy,0.016322386301098644,7.333465323542732e-4
std_delta_log_energy,0.01418471328379965,5.681753554233855e-4
std_9th_delta_delta,0.011426887961392542,5.021121199276085e-4
tqwt_tkeo_mean_dec_12,0.009723821790467288,4.7919873401012044e-4
tqwt_tkeo_std_dec_12,0.00823071740962575,3.221603578789191e-4
tqwt_energy_dec_27,0.007916281766842108,3.233775330740273e-4
tqwt_tkeo_std_dec_13,0.007249303431086254,3.791196783036004e-4
tqwt_entropy_shannon_dec_12,0.007133733895684449,2.739003221883707e-4
loc_abs_jitter,0.007060307221659563,4.4823827900734284e-4
std_7th_delta_delta,0.006889894294623937,2.6834312835882085e-4
tqwt_entropy_log_dec_12,0.006659568362752614,2.747299325745176e-4
ddp_jitter,0.00611823951379392,3.284415311428987e-4
tqwt_std_value_dec_12,0.006007409974722987,2.62430105788203e-4
tqwt_std_value_dec_13,0.005807779274759618,2.4860642398366736e-4
tqwt_tkeo_mean_dec_13,0.00558990057146505,2.2717956649666603e-4
tqwt_energy_dec_26,0.0051900492346770724,2.1645177699363511e-4
tqwt_entropy_log_dec_27,0.005120226370058089,3.0737725712496353e-4
apq11shimmer,0.004926085261400632,2.689407022580919e-4
loc_pct_jitter,0.004916869634371063,2.7574134248757907e-4
rap_jitter,0.00472246601146601,1.2534750859111347e-4
tqwt_kurtosis_value_dec_26,0.004609315098884422,3.2159415457364666e-4
ppq5jitter,0.004505477730653696,1.2774476441341104e-4
mean_mfcc_2nd_coef,0.004326428018934314,2.575605096626987e-4
tqwt_entropy_log_dec_35,0.004254263246246361,2.803024346930423e-4
tqwt_max_value_dec_11,0.0042502879786992616,2.064592090545918e-4
tqwt_entropy_log_dec_11,0.0042246093179005555,1.63165571694044e-4
tqwt_std_value_dec_11,0.004206847920965143,1.6522471008841122e-4
std_9th_delta,0.00393118933356861,2.0622987864197989e-4
tqwt_entropy_log_dec_26,0.003909644802311067,1.603579299187709e-4
tqwt_entropy_shannon_dec_11,0.003907080604332271,1.4548130376585818e-4
std_7th_delta,0.003841268935943335,2.0406283305340187e-4
tqwt_tkeo_std_dec_11,0.0037158573312680034,2.0643728607778927e-4
std_6th_delta_delta,0.003682568409661981,2.815888269986734e-4
tqwt_max_value_dec_13,0.0036253038105381295,1.7426426941051734e-4
tqwt_entropy_log_dec_13,0.0036045013854889246,1.7246519270931748e-4
